term,label,url,product_count,family_count,product_type_count,sample_skus
self seal side loading corrugated,Self Seal Side Loading Corrugated,https://packrift.github.io/packaging-vocabulary/terms/self-seal-side-loading-corrugated/,5,1,1,10212SSFOL 11315SSFOL 936SSFOL 1128SSFOL 12317SSFOL
self-grip,Self-grip,https://packrift.github.io/packaging-vocabulary/terms/self-grip/,5,1,1,VEL181 VEL180 VEL131 VEL182 VEL183
selfgrip straps,Selfgrip Straps,https://packrift.github.io/packaging-vocabulary/terms/selfgrip-straps/,5,1,1,VEL181 VEL180 VEL131 VEL182 VEL183
shirt bags,Shirt Bags,https://packrift.github.io/packaging-vocabulary/terms/shirt-bags/,5,1,1,GB21454 GB21438 GB21740 GB21472 GB21772
size 00 mailers,Size 00 Mailers,https://packrift.github.io/packaging-vocabulary/terms/size-00-mailers/,5,2,1,B852SS B852WSS B852SSRTT B852SSTT B852SSR
size 2 mailers,Size 2 Mailers,https://packrift.github.io/packaging-vocabulary/terms/size-2-mailers/,5,2,1,B855SS B805SS B855WSS B805WSS25PK B855SSTT25PK
square tape,Square Tape,https://packrift.github.io/packaging-vocabulary/terms/square-tape/,5,1,1,T95219 T95213 T95212 T95211 T95226
squares,Squares,https://packrift.github.io/packaging-vocabulary/terms/squares/,5,1,1,T95219 T95213 T95212 T95211 T95226
storage file boxes,Storage File Boxes,https://packrift.github.io/packaging-vocabulary/terms/storage-file-boxes/,5,1,1,FSB300 FSB370 FSB350 FSB700 FSB720
store grocery bags,Store Grocery Bags,https://packrift.github.io/packaging-vocabulary/terms/store-grocery-bags/,5,1,1,BGFH101D BGG105K BGG105W BGG111K BGFH102UP
suit bags,Suit Bags,https://packrift.github.io/packaging-vocabulary/terms/suit-bags/,5,1,1,GB21454 GB21438 GB21740 GB21472 GB21772
suit cover,Suit Cover,https://packrift.github.io/packaging-vocabulary/terms/suit-cover/,5,1,1,GB21454 GB21438 GB21740 GB21472 GB21772
tab lock cardboard envelopes,Tab Lock Cardboard Envelopes,https://packrift.github.io/packaging-vocabulary/terms/tab-lock-cardboard-envelopes/,5,1,1,RM5W RM6W RM1W RM3W RM2W
